epoch,global_step,train_loss,train_accuracy,train_perplexity,learning_rate,val_loss,val_accuracy,val_perplexity,model_type,encoding
11779,82460,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11780,82467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11781,82474,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11782,82481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11783,82488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11784,82495,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11785,82502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11786,82509,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11787,82516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11788,82523,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11789,82530,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11790,82537,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11791,82544,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11792,82551,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11793,82558,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11794,82565,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11795,82572,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11796,82579,3.878917098631973e-08,100.0,1.0,0.001,NaN,NaN,NaN,transformer,embedding
11797,82586,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11798,82593,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11799,82600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11800,82607,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11801,82614,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11802,82621,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11803,82628,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11804,82635,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11805,82642,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11806,82649,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11807,82656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11808,82663,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11809,82670,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11810,82677,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11811,82684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11812,82691,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11813,82698,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11814,82705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11815,82712,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11816,82719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11817,82726,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11818,82733,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11819,82740,NaN,NaN,NaN,NaN,2.2996766567230225,40.77828598022461,9.97095775604248,transformer,embedding
11820,82747,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
